Species,Region,Collection_Date,Count
Drosophila-associated nudivirus,Europa,2016.0,6
Drosophila-associated picorna-like virus,North America,2018.0,1
Drosophila-associated salivary gland hypertrophy virus,Europa,2016.0,18
Drosophila-associated totivirus 2,North America,2018.0,1
Drosophila-associated totivirus 3,North America,2018.0,1
Drosophila-associated totivirus 4,North America,2018.0,1
Drosophila-associated totivirus 5,North America,2018.0,1
Drosophila-associated tymovirus,North America,2018.0,1
Drosophilid anphevirus,Europa,2012.0,2
Dryglaski virus,Antarctica,2016.0,1
Duamitovirus bevu1,Europa,2018.0,1
Duamitovirus boci1,Europa,2018.0,1
Duamitovirus boci3,Europa,2018.0,2
Duamitovirus fupo3,Europa,2018.0,1
Duamitovirus fupo4,Europa,2018.0,1
Duamitovirus nior1,Asia,2019.0,1
Duamitovirus rhce1,Asia,2016.0,2
Duamitovirus scsc3,Europa,2018.0,1
Dubrovin virus,Antarctica,2015.0,1
Duck adeno-associated virus,Africa,2020.0,2
Duck adeno-associated virus,Asia,2020.0,1
Duck adeno-associated virus,Oceans and Seas,2019.0,2
Duck adeno-associated virus,Oceans and Seas,2020.0,2
Duck adenovirus,Asia,2017.0,3
Duck adenovirus,Asia,2018.0,2
Duck adenovirus 3,Asia,2015.0,4
Duck adenovirus 3,Asia,2016.0,3
Duck adenovirus 3,Asia,2017.0,4
Duck adenovirus 3,Asia,2018.0,3
Duck adenovirus 3,Asia,2019.0,2
Duck adenovirus 4,Asia,2019.0,2
Duck adenovirus 4,Asia,2020.0,1
Duck associated circular virus VC9,South America,2014.0,1
Duck associated cyclovirus 1,Europa,2013.0,6
Duck associated cyclovirus 1,South America,2015.0,4
Duck astrovirus 3,Asia,2014.0,14
Duck astrovirus CPH,Asia,2013.0,1
Duck astrovirus GII.A,Asia,2008.0,1
Duck astrovirus GII.A,Asia,2009.0,8
Duck astrovirus GII.A,Asia,2012.0,2
Duck astrovirus GII.A,Asia,2013.0,4
Duck astrovirus GII.A,Asia,2015.0,1
Duck astrovirus GII.A,Asia,2020.0,1
Duck astrovirus GII.A,Asia,2021.0,1
Duck astrovirus GII.A,Europa,1984.0,1
Duck atadenovirus A,Africa,2015.0,1
Duck atadenovirus A,Africa,2018.0,1
Duck atadenovirus A,Asia,1987.0,2
Duck atadenovirus A,Asia,1991.0,1
Duck atadenovirus A,Asia,1995.0,1
Duck atadenovirus A,Asia,2005.0,1
Duck atadenovirus A,Asia,2008.0,1
Duck atadenovirus A,Asia,2010.0,3
Duck atadenovirus A,Asia,2011.0,17
Duck atadenovirus A,Asia,2012.0,1
Duck atadenovirus A,Asia,2014.0,1
Duck atadenovirus A,Asia,2015.0,6
Duck atadenovirus A,Asia,2016.0,1
Duck atadenovirus A,Asia,2018.0,1
Duck atadenovirus A,Asia,2020.0,1
Duck atadenovirus A,North America,2007.0,2
Duck atadenovirus A,North America,2019.0,1
Duck aviadenovirus,Oceans and Seas,2019.0,1
Duck aviadenovirus B,Asia,2014.0,1
Duck aviadenovirus B,Asia,2015.0,2
Duck aviadenovirus B,Asia,2016.0,2
Duck aviadenovirus B,Asia,2018.0,7
Duck aviadenovirus B,Asia,2019.0,2
Duck aviadenovirus B,Asia,2020.0,6
Duck aviadenovirus B,Asia,2021.0,1
Duck aviadenovirus B,Europa,1977.0,2
Duck calicivirus,Oceans and Seas,2013.0,1
Duck calicivirus 2,North America,2014.0,2
Duck calicivirus 2,North America,2015.0,6
Duck circovirus,Asia,2006.0,2
Duck circovirus,Asia,2007.0,4
Duck circovirus,Asia,2008.0,13
Duck circovirus,Asia,2009.0,8
Duck circovirus,Asia,2010.0,5
Duck circovirus,Asia,2011.0,20
Duck circovirus,Asia,2012.0,21
Duck circovirus,Asia,2013.0,19
Duck circovirus,Asia,2014.0,1
Duck circovirus,Asia,2015.0,1
Duck circovirus,Asia,2016.0,4
Duck circovirus,Asia,2017.0,8
Duck circovirus,Asia,2018.0,22
Duck circovirus,Asia,2019.0,31
Duck circovirus,Asia,2020.0,6
Duck circovirus,Asia,2021.0,29
Duck circovirus,Europa,2010.0,4
Duck circovirus,Europa,2013.0,1
Duck circovirus,Oceans and Seas,2019.0,2
Duck circovirus,South America,2014.0,1
Duck circovirus 3,Asia,2022.0,1
Duck coronavirus 2714,Oceans and Seas,2015.0,1
Duck faeces associated circular DNA virus 1,Oceans and Seas,2012.0,2
Duck faeces associated circular DNA virus 2,Oceans and Seas,2011.0,2
Duck faeces associated circular DNA virus 3,Oceans and Seas,2011.0,2
Duck flavivirus Anhui/2010,Asia,2010.0,1
Duck flavivirus LG/01/11,Asia,2011.0,1
Duck flavivirus strain YY5,Asia,2010.0,3
Duck genomovirus VC16,South America,2014.0,1
Duck genomovirus VC17,South America,2014.0,1
Duck hemorrhagic ovaritis virus,Asia,2010.0,1
Duck hemorrhagic ovaritis virus,Asia,2011.0,1
Duck hepacivirus,Asia,2018.0,3
Duck hepacivirus,Asia,2019.0,1
Duck hepatitis B virus,Asia,2009.0,1
Duck hepatitis B virus,Asia,2010.0,4
Duck hepatitis B virus,Asia,2011.0,3
Duck hepatitis B virus,Asia,2014.0,1
Duck hepatitis B virus,Asia,2016.0,2
Duck hepatitis B virus,Asia,2020.0,5
Duck hepatitis B virus,Europa,2010.0,3
Duck hepatitis B virus,Europa,2011.0,9
Duck hepatitis B virus,Europa,2012.0,4
Duck hepatitis B virus,Europa,2020.0,2
Duck hepatitis virus 3,Asia,2014.0,1
Duck hepatitis virus 3,North America,1979.0,1
Duck megrivirus,Asia,2011.0,3
Duck megrivirus,Asia,2012.0,1
Duck papillomavirus,Asia,2014.0,3
Duck papillomavirus 3,North America,2014.0,11
Duck papillomavirus 3,North America,2015.0,2
Duck parvovirus NM100,Asia,2012.0,1
Duck parvovirus NM4,Asia,2015.0,1
Duck picornavirus,Oceans and Seas,2019.0,2
Duck rhabdovirus,Oceans and Seas,2013.0,1
Duck ssDNA virus,South America,2014.0,1
Duck-associated ambidensovirus 1,North America,2014.0,6
Duck-associated ambidensovirus 1,North America,2015.0,5
Duck-associated ambidensovirus 1,North America,2018.0,1
Duck-associated ambidensovirus 2,North America,2014.0,1
Duck-associated ambidensovirus 2,North America,2018.0,1
Duck-associated chapparvovirus,North America,2014.0,1
Duck-associated chapparvovirus,North America,2015.0,3
Duck-associated chapparvovirus 1,North America,2015.0,2
Duck-associated chapparvovirus 2,North America,2015.0,3
Duck-dominant coronavirus,Asia,2013.0,54
Duck-dominant coronavirus,Asia,2014.0,75
Duck-dominant coronavirus,Asia,2018.0,3
Dugbe orthonairovirus,Africa,1964.0,3
Dugbe orthonairovirus,Africa,1999.0,52
Dugbe orthonairovirus,Africa,2015.0,4
Dugbe orthonairovirus,Africa,2016.0,1
Dugbe orthonairovirus,Africa,2017.0,3
Duke bunyavirus,North America,2016.0,3
Dumanli virus,North America,2017.0,1
Dumyat virus,Europa,2011.0,1
Dundee virus,Antarctica,2016.0,1
Duranta erecta leaf curl Lakshmangarh virus,Asia,2011.0,1
Duranta leaf curl alphasatellite,Asia,2011.0,1
Duranta leaf curl virus,Asia,2006.0,1
Duranta leaf curl virus,Asia,2014.0,2
Duranta leaf curl virus,Asia,2016.0,1
Duranta leaf curl virus,Asia,2018.0,1
Duranta leaf curl virus,Asia,2019.0,1
Duranta leaf curl virus,Asia,2021.0,1
Durnavirales sp.,Asia,2018.0,2
Duvenhage lyssavirus,Africa,1971.0,6
Duvenhage lyssavirus,Africa,1981.0,2
Duvenhage lyssavirus,Africa,1986.0,1
Duvenhage lyssavirus,Africa,1988.0,2
Duvenhage lyssavirus,Africa,2006.0,1
Duvenhage lyssavirus,Africa,2012.0,1
Duvenhage lyssavirus,Europa,2007.0,2
Duwamo virus,North America,2016.0,2
Dwyer narna-like virus,Oceans and Seas,2017.0,2
Dyochipapillomavirus 1,Europa,2013.0,2
Dyodeltapapillomavirus 1,Asia,2019.0,3
Dyoetapapillomavirus 1,Europa,2006.0,2
Dyoiotapapillomavirus 1,Asia,2015.0,4
Dyoiotapapillomavirus 1,Asia,2016.0,1
Dyoiotapapillomavirus 1,Asia,2018.0,8
Dyoiotapapillomavirus 1,Asia,2019.0,1
Dyoiotapapillomavirus 1,Asia,2020.0,7
Dyoiotapapillomavirus 1,Asia,2021.0,20
Dyoiotapapillomavirus 1,Europa,2005.0,1
Dyoiotapapillomavirus 1,Europa,2006.0,3
Dyoiotapapillomavirus 1,Europa,2007.0,8
Dyoiotapapillomavirus 1,Europa,2008.0,3
Dyoiotapapillomavirus 1,Europa,2009.0,3
Dyoiotapapillomavirus 1,Europa,2010.0,1
Dyoiotapapillomavirus 1,Europa,2011.0,2
Dyoiotapapillomavirus 1,Europa,2015.0,17
Dyoiotapapillomavirus 1,Europa,2019.0,2
Dyoiotapapillomavirus 2,North America,2016.0,1
Dyokappapapillomavirus 1,Europa,2007.0,2
Dyokappapapillomavirus 2,Europa,2005.0,2
Dyokappapapillomavirus 3,South America,2012.0,2
Dyokappapapillomavirus 4,South America,2012.0,2
Dyokappapapillomavirus 5,Europa,2006.0,2
Dyolambdapapillomavirus 1,Oceans and Seas,2008.0,2
Dyomupapillomavirus 1,Europa,2009.0,2
Dyonupapillomavirus 1,Asia,2015.0,3
Dyonupapillomavirus 1,North America,2008.0,2
Dyoomikronpapillomavirus 1,North America,2009.0,4
Dyoomikronpapillomavirus 1,South America,2001.0,1
Dyoomikronpapillomavirus 1,South America,2009.0,1
Dyoomikronpapillomavirus 1,South America,2010.0,1
Dyoomikronpapillomavirus 1,South America,2014.0,1
Dyophipapillomavirus 1,Europa,2009.0,3
Dyopipapillomavirus 1,Europa,1998.0,2
Dyopipapillomavirus 1,North America,2012.0,1
Dyorhopapillomavirus 1,Asia,2020.0,3
Dyorhopapillomavirus 1,Europa,2011.0,4
Dyotaupapillomavirus 1,Asia,2006.0,2
Dyotaupapillomavirus 1,Asia,2010.0,1
Dyothetapapillomavirus 1,Asia,2021.0,1
Dyothetapapillomavirus 1,Europa,2007.0,2
Dyothetapapillomavirus 1,Europa,2014.0,1
Dyoxipapillomavirus 1,Asia,2013.0,12
Dyoxipapillomavirus 1,Asia,2016.0,5
Dyoxipapillomavirus 1,Asia,2018.0,1
Dyoxipapillomavirus 1,Europa,2012.0,8
Dyoxipapillomavirus 1,Europa,2013.0,8
Dyoxipapillomavirus 1,North America,2018.0,1
Dyoxipapillomavirus 1,South America,2009.0,1
Dyoxipapillomavirus 1,South America,2016.0,2
Dyoxipapillomavirus 2,South America,2012.0,4
Dyozetapapillomavirus 1,Oceans and Seas,2009.0,1
Dyozetapapillomavirus 1,Oceans and Seas,2013.0,1
Dyozetapapillomavirus 1,Oceans and Seas,2016.0,1
Eagle poxvirus,Asia,2018.0,1
East African cassava mosaic Cameroon virus,Africa,2005.0,1
East African cassava mosaic Cameroon virus,Africa,2006.0,1
East African cassava mosaic Cameroon virus,Africa,2007.0,1
East African cassava mosaic Cameroon virus,Africa,2008.0,3
East African cassava mosaic Cameroon virus,Africa,2009.0,7
East African cassava mosaic Cameroon virus,Africa,2010.0,1
East African cassava mosaic Cameroon virus,Africa,2011.0,9
East African cassava mosaic Cameroon virus,Africa,2013.0,1
East African cassava mosaic Cameroon virus,Africa,2015.0,3
East African cassava mosaic Cameroon virus,Africa,2017.0,1
East African cassava mosaic Kenya virus,Africa,2003.0,3
East African cassava mosaic Kenya virus,Africa,2004.0,9
East African cassava mosaic Kenya virus,Africa,2005.0,16
East African cassava mosaic Kenya virus,Africa,2006.0,4
East African cassava mosaic Kenya virus,Africa,2007.0,1
East African cassava mosaic Kenya virus,Africa,2008.0,30
East African cassava mosaic Kenya virus,Africa,2009.0,68
East African cassava mosaic Kenya virus,Africa,2010.0,9
East African cassava mosaic Kenya virus,Africa,2011.0,26
East African cassava mosaic Malawi virus,Africa,2013.0,21
East African cassava mosaic Malawi virus,Africa,2014.0,28
East African cassava mosaic Zanzibar virus,Asia,2011.0,4
East African cassava mosaic virus,Africa,2000.0,2
East African cassava mosaic virus,Africa,2003.0,11
East African cassava mosaic virus,Africa,2004.0,40
East African cassava mosaic virus,Africa,2005.0,22
East African cassava mosaic virus,Africa,2006.0,10
East African cassava mosaic virus,Africa,2007.0,44
East African cassava mosaic virus,Africa,2008.0,62
East African cassava mosaic virus,Africa,2009.0,146
East African cassava mosaic virus,Africa,2010.0,2
East African cassava mosaic virus,Africa,2012.0,32
East African cassava mosaic virus,Africa,2013.0,41
East African cassava mosaic virus,Africa,2014.0,9
East African cassava mosaic virus,Africa,2015.0,15
East African cassava mosaic virus,Africa,2017.0,3
East African cassava mosaic virus,Africa,2018.0,4
East African cassava mosaic virus,Africa,2019.0,19
East African cassava mosaic virus,Africa,2021.0,9
East Asian Passiflora distortion virus,Asia,2013.0,2
East Asian Passiflora distortion virus,Asia,2014.0,1
East Asian Passiflora virus,Asia,1983.0,1
East Asian Passiflora virus,Asia,1988.0,2
East Asian Passiflora virus,Asia,2005.0,6
East Asian Passiflora virus,Asia,2007.0,5
East Asian Passiflora virus,Asia,2010.0,6
East Asian Passiflora virus,Asia,2011.0,2
East Asian Passiflora virus,Asia,2012.0,1
East Asian Passiflora virus,Asia,2013.0,1
East Asian Passiflora virus,Asia,2014.0,20
East Asian Passiflora virus,Asia,2015.0,6
East Asian Passiflora virus,Asia,2016.0,5
East Asian Passiflora virus,Asia,2017.0,12
East Asian Passiflora virus,Asia,2018.0,9
East Asian Passiflora virus,Asia,2021.0,2
Eastern box turtle adenovirus,North America,2008.0,3
Eastern chimpanzee porprismacovirus 1,Africa,2016.0,1
Eastern chimpanzee porprismacovirus 2,Africa,2016.0,1
Eastern chimpanzee porprismacovirus 3,Africa,2016.0,1
Eastern chimpanzee porprismacovirus 4,Africa,2016.0,1
Eastern chimpanzee porprismacovirus 5,Africa,2016.0,1
Eastern chimpanzee porprismacovirus 6,Africa,2016.0,1
Eastern equine encephalitis virus,Asia,2010.0,2
Eastern equine encephalitis virus,North America,1933.0,4
Eastern equine encephalitis virus,North America,1934.0,1
Eastern equine encephalitis virus,North America,1935.0,1
Eastern equine encephalitis virus,North America,1947.0,1
Eastern equine encephalitis virus,North America,1951.0,1
Eastern equine encephalitis virus,North America,1953.0,1
Eastern equine encephalitis virus,North America,1959.0,1
Eastern equine encephalitis virus,North America,1960.0,1
Eastern equine encephalitis virus,North America,1961.0,1
Eastern equine encephalitis virus,North America,1962.0,2
Eastern equine encephalitis virus,North America,1968.0,1
Eastern equine encephalitis virus,North America,1969.0,4
Eastern equine encephalitis virus,North America,1971.0,11
Eastern equine encephalitis virus,North America,1973.0,1
Eastern equine encephalitis virus,North America,1974.0,21
Eastern equine encephalitis virus,North America,1975.0,3
Eastern equine encephalitis virus,North America,1977.0,1
Eastern equine encephalitis virus,North America,1978.0,1
Eastern equine encephalitis virus,North America,1979.0,1
Eastern equine encephalitis virus,North America,1982.0,2
Eastern equine encephalitis virus,North America,1983.0,2
Eastern equine encephalitis virus,North America,1984.0,1
Eastern equine encephalitis virus,North America,1986.0,7
Eastern equine encephalitis virus,North America,1988.0,1
Eastern equine encephalitis virus,North America,1989.0,2
Eastern equine encephalitis virus,North America,1990.0,3
Eastern equine encephalitis virus,North America,1991.0,8
Eastern equine encephalitis virus,North America,1992.0,12
Eastern equine encephalitis virus,North America,1993.0,2
Eastern equine encephalitis virus,North America,1994.0,12
Eastern equine encephalitis virus,North America,1996.0,3
Eastern equine encephalitis virus,North America,1998.0,2
Eastern equine encephalitis virus,North America,2000.0,1
Eastern equine encephalitis virus,North America,2001.0,44
Eastern equine encephalitis virus,North America,2002.0,24
Eastern equine encephalitis virus,North America,2003.0,87
Eastern equine encephalitis virus,North America,2004.0,49
Eastern equine encephalitis virus,North America,2005.0,64
Eastern equine encephalitis virus,North America,2006.0,38
Eastern equine encephalitis virus,North America,2007.0,17
Eastern equine encephalitis virus,North America,2008.0,27
Eastern equine encephalitis virus,North America,2009.0,35
Eastern equine encephalitis virus,North America,2010.0,35
Eastern equine encephalitis virus,North America,2011.0,30
Eastern equine encephalitis virus,North America,2012.0,25
Eastern equine encephalitis virus,North America,2013.0,31
Eastern equine encephalitis virus,North America,2014.0,33
Eastern equine encephalitis virus,North America,2019.0,2
Eastern equine encephalitis virus,Oceans and Seas,2011.0,1
Eastern equine encephalitis virus,South America,1936.0,1
Eastern equine encephalitis virus,South America,1938.0,1
Eastern equine encephalitis virus,South America,1959.0,1
Eastern equine encephalitis virus,South America,1960.0,2
Eastern equine encephalitis virus,South America,1965.0,1
Eastern equine encephalitis virus,South America,1967.0,1
Eastern equine encephalitis virus,South America,1970.0,1
Eastern equine encephalitis virus,South America,1973.0,1
Eastern equine encephalitis virus,South America,1974.0,1
Eastern equine encephalitis virus,South America,1975.0,4
Eastern equine encephalitis virus,South America,1976.0,5
Eastern equine encephalitis virus,South America,1977.0,1
Eastern equine encephalitis virus,South America,1978.0,2
Eastern equine encephalitis virus,South America,1980.0,1
Eastern equine encephalitis virus,South America,1981.0,5
Eastern equine encephalitis virus,South America,1983.0,1
Eastern equine encephalitis virus,South America,1984.0,1
Eastern equine encephalitis virus,South America,1992.0,1
Eastern equine encephalitis virus,South America,1996.0,14
Eastern equine encephalitis virus,South America,1997.0,26
Eastern equine encephalitis virus,South America,1998.0,11
Eastern equine encephalitis virus,South America,1999.0,8
Eastern equine encephalitis virus,South America,2000.0,18
Eastern equine encephalitis virus,South America,2005.0,1
Eastern equine encephalitis virus,South America,2006.0,3
Eastern equine encephalitis virus,South America,2008.0,2
Eastern equine encephalitis virus,South America,2009.0,14
Eastern equine encephalitis virus,South America,2012.0,1
Eastern equine encephalitis virus,South America,2015.0,2
Eastern kangaroopox virus,Oceans and Seas,2017.0,3
Eastern lesser bamboo lemur adenovirus,Europa,2015.0,1
Eastern mosquitofish arenavirus,Oceans and Seas,2020.0,2
Eastern mosquitofish bastrovirus,Oceans and Seas,2020.0,2
Eastern mosquitofish hepevirus,Oceans and Seas,2020.0,1
Eastern red scorpionfish astrovirus,Oceans and Seas,2017.0,1
Eastern red scorpionfish flavivirus,Oceans and Seas,2017.0,1
Eastern red scorpionfish picornavirus,Oceans and Seas,2017.0,1
Eastern school whiting hepadnavirus FL4,Oceans and Seas,2018.0,1
Eastern school whiting narna-like virus,Oceans and Seas,2018.0,1
Eastern school whiting picornavirus FL5,Oceans and Seas,2018.0,1
Eastern school whiting sobemo-like virus,Oceans and Seas,2018.0,1
Eastern school whiting tombus-like virus,Oceans and Seas,2018.0,1
Eastern sea garfish astrovirus,Oceans and Seas,2017.0,1
Eastern sea garfish hepatitis B virus,Oceans and Seas,2017.0,1
Eastern sea garfish picornavirus,Oceans and Seas,2017.0,1
Eastern sea garfish rhabdovirus FL9,Oceans and Seas,2017.0,1
Eastern sea garfish-associated bunya-like virus,Oceans and Seas,2017.0,1
Eastern sea garfish-associated rhabdo-like virus,Oceans and Seas,2017.0,1
Eccles virus,Europa,2014.0,6
Ecclesville picorna-like virus,North America,2018.0,5
Echarate phlebovirus,South America,1998.0,6
Echidna ERV,North America,2000.0,1
Echinoderm berhavirus,Asia,2014.0,2
Echovirus,Africa,2011.0,1
Echovirus,Asia,2014.0,1
Echovirus,Asia,2015.0,3
Echovirus,South America,2011.0,4
Ecklonia maxima phaeovirus,Africa,2015.0,4
Ecklonia radiata phaeovirus,Africa,2015.0,5
Ecklonia radiata-associated virus 1,Oceans and Seas,2014.0,2
Ecklonia radiata-associated virus 10,Oceans and Seas,2014.0,1
Ecklonia radiata-associated virus 11,Oceans and Seas,2014.0,1
Ecklonia radiata-associated virus 2,Oceans and Seas,2014.0,1
Ecklonia radiata-associated virus 3,Oceans and Seas,2014.0,2
Ecklonia radiata-associated virus 4,Oceans and Seas,2014.0,1
Ecklonia radiata-associated virus 5,Oceans and Seas,2014.0,2
Ecklonia radiata-associated virus 6,Oceans and Seas,2014.0,1
Ecklonia radiata-associated virus 7,Oceans and Seas,2014.0,2
Ecklonia radiata-associated virus 8,Oceans and Seas,2014.0,2
Ecklonia radiata-associated virus 9,Oceans and Seas,2014.0,1
Eclipta yellow vein alphasatellite,Asia,2013.0,2
Eclipta yellow vein betasatellite,Asia,2006.0,1
Eclipta yellow vein betasatellite,Asia,2014.0,2
Eclipta yellow vein virus,Asia,2006.0,2
Eclipta yellow vein virus,Asia,2010.0,1
Eclipta yellow vein virus,Asia,2012.0,1
Eclipta yellow vein virus,Asia,2013.0,1
Eclipta yellow vein virus,Asia,2014.0,1
Ectromelia virus,Asia,1987.0,1
Ectromelia virus,Asia,2012.0,1
Ectromelia virus,Europa,1930.0,1
Ectromelia virus,North America,1996.0,1
Ectropis obliqua nucleopolyhedrovirus,Asia,2007.0,3
Ectropis obliqua nucleopolyhedrovirus,Asia,2012.0,1
Ectropis obliqua nucleopolyhedrovirus,Asia,2017.0,2
Ecuadorian rocoto virus,South America,2006.0,1
Ed virus,Europa,2020.0,1
Edafosvirus sp.,North America,2017.0,66
Edge Hill virus,Oceans and Seas,1979.0,1
Edge Hill virus,Oceans and Seas,1995.0,3
Edge Hill virus,Oceans and Seas,1996.0,2
Edge Hill virus,Oceans and Seas,2000.0,1
Edgeworthia chrysantha mosaic-associated virus,Asia,2018.0,2
Edwardsiella phage ETP-1,Asia,2017.0,1
Edwardsiella phage PVN06,Asia,2020.0,1
Edwardsiella phage PVN09,Asia,2018.0,1
Edwardsiella phage vB_EpP_ZHX,Asia,2021.0,1
Edwardsiella phage vB_EtaM_ET-ABTNL-9,Asia,2019.0,1
Edwardsiella virus pEtSU,Asia,2018.0,2
Eel River basin pequenovirus,North America,2005.0,23
Eel circovirus,Europa,2014.0,1
Eel picornavirus Eel/14980,Asia,2019.0,1
Eel picornavirus Eel/31945,Asia,2019.0,1
Eel picornavirus Eel/47626,Asia,2019.0,1
Eelpout rhabdovirus,Europa,2014.0,1
Egaro virus,North America,2016.0,2
Eggerthella virus PMBT5,Europa,2018.0,2
Eggplant carlavirus,Asia,2015.0,6
Eggplant carlavirus,Asia,2016.0,2
Eggplant carlavirus,Asia,2017.0,1
Eggplant carlavirus,Asia,2018.0,2
Eggplant golden mosaic virus,Asia,2012.0,1
Eggplant golden mosaic virus,Asia,2014.0,2
Eggplant golden mosaic virus,Asia,2016.0,7
Eggplant golden mosaic virus,Asia,2017.0,5
Eggplant golden mosaic virus,Asia,2018.0,1
Eggplant golden mosaic virus,Asia,2019.0,2
Eggplant leaf curl Chhattisgarh virus,Asia,2021.0,4
Eggplant mosaic virus,North America,1966.0,1
Eggplant mottled crinkle virus,Asia,2005.0,1
Eggplant mottled crinkle virus,Asia,2006.0,1
Eggplant mottled crinkle virus,Asia,2009.0,2
Eggplant mottled crinkle virus,Europa,2020.0,1
Eggplant mottled dwarf nucleorhabdovirus,Asia,2011.0,1
Eggplant mottled dwarf nucleorhabdovirus,Asia,2015.0,1
Eggplant mottled dwarf nucleorhabdovirus,Asia,2018.0,1
Eggplant mottled dwarf nucleorhabdovirus,Europa,1990.0,1
Eggplant mottled dwarf nucleorhabdovirus,Europa,2006.0,1
Eggplant mottled dwarf nucleorhabdovirus,Europa,2008.0,2
Eggplant mottled dwarf nucleorhabdovirus,Europa,2009.0,3
Eggplant mottled dwarf nucleorhabdovirus,Europa,2010.0,7
Eggplant mottled dwarf nucleorhabdovirus,Europa,2011.0,7
Eggplant mottled dwarf nucleorhabdovirus,Europa,2012.0,4
Eggplant mottled dwarf nucleorhabdovirus,Europa,2013.0,2
Eggplant mottled dwarf nucleorhabdovirus,Europa,2014.0,1
Eggplant mottled dwarf nucleorhabdovirus,Europa,2015.0,2
Eggplant mottled dwarf nucleorhabdovirus,Europa,2017.0,2
Eggplant mottled dwarf nucleorhabdovirus,Oceans and Seas,2014.0,1
Eggplant virus A,Oceans and Seas,2019.0,1
Egyptian fruit bat betaherpesvirus,Europa,2007.0,1
Egyptian fruit bat gammaherpesvirus,Europa,2007.0,1
Eidolon bat coronavirus,Africa,2012.0,1
Eidolon bat coronavirus,Africa,2013.0,1
Eidolon bat coronavirus,Africa,2016.0,29
Eidolon bat coronavirus,Africa,2017.0,129
Eidolon bat coronavirus,Africa,2018.0,157
Eidolon bat coronavirus,Africa,2020.0,4
Eidolon bat coronavirus,Africa,2021.0,11
Eidolon bat coronavirus/Kenya/KY24/2006,Africa,2006.0,1
Eidolon bat coronavirus/Kenya/KY24/2006,Africa,2012.0,13
Eidolon bat coronavirus/Kenya/KY24/2006,Africa,2013.0,315
Eidolon bat coronavirus/Kenya/KY24/2006,Africa,2014.0,23
Eidolon dupraenum simplexvirus 1,Africa,2006.0,9
Eidolon dupreanum nobecovirus,Africa,2019.0,1
Eidolon helvum adenovirus,Africa,2006.0,1
Eidolon helvum adenovirus,Africa,2011.0,8
Eidolon helvum adenovirus 1,Africa,2009.0,1
Eidolon helvum adenovirus 2,Africa,2009.0,1
Eidolon helvum adenovirus 3,Africa,2009.0,1
Eidolon helvum herpesvirus 1,Africa,2009.0,1
Eidolon helvum herpesvirus 2,Africa,2009.0,1
Eidolon helvum herpesvirus 3,Africa,2009.0,1
Eidolon helvum kobuvirus,Africa,2009.0,1
Eidolon helvum lung retrovirus 1,Africa,2009.0,1
Eidolon helvum papillomavirus,Africa,2013.0,3
Eidolon helvum papillomavirus 4,Africa,2009.0,1
Eidolon helvum papillomavirus 5,Africa,2009.0,1
Eidolon helvum papillomavirus 6,Africa,2009.0,1
Eidolon helvum papillomavirus 7,Africa,2009.0,1
Eidolon helvum paramyxovirus,Africa,2009.0,1
Eidolon helvum paramyxovirus,Africa,2010.0,71
Eidolon helvum paramyxovirus,Africa,2013.0,4
Eidolon helvum paramyxovirus,Africa,2015.0,9
Eidolon helvum paramyxovirus,Africa,2019.0,14
Eidolon helvum parvovirus 2,Africa,2009.0,1
Eidolon helvum polyomavirus 1,Africa,2006.0,2
Eidolon helvum poxvirus 1,Africa,2009.0,1
Eidolon helvum simplexvirus 1,Africa,1971.0,3
Eidolon helvum throat retrovirus 1,Africa,2009.0,1
Eidolon paramyxovirus RC09,Africa,2009.0,5
Eidolon polyomavirus 2,Africa,2006.0,1
Eilat virus,Africa,2016.0,1
Eilat virus,Asia,1982.0,2
Eimeria stiedai RNA virus 1,Asia,2012.0,2
Eimeria stiedai RNA virus 1,Oceans and Seas,2017.0,2
Eimeria tenella RNA virus 1,Asia,2011.0,2
Eimeria tenella RNA virus 1-like virus,Europa,2011.0,1
Ek Balam virus,North America,2007.0,1
Ekpoma 1 tibrovirus,Africa,2011.0,2
Ekpoma 2 tibrovirus,Africa,2011.0,2
Ekpoma virus,Africa,2014.0,5
Ekpoma virus,Asia,2017.0,1
El Moro Canyon orthohantavirus,North America,2000.0,4
El Moro Canyon orthohantavirus,North America,2006.0,8
Elaphodus cephalophus bocaparvovirus,Asia,2020.0,1
Elapid 1 orthobornavirus,Africa,1993.0,2
Elderberry aureusvirus 1,Europa,2015.0,23
Elderberry aureusvirus 1,Europa,2016.0,13
Elderberry aureusvirus 1,Europa,2017.0,9
Elderberry carlavirus A,North America,2011.0,2
Elderberry carlavirus B,North America,2011.0,2
Elderberry latent virus,North America,2011.0,1
Elemess virus,North America,2017.0,26
Elephant endotheliotropic herpesvirus 2,Africa,1998.0,17
Elephant endotheliotropic herpesvirus 2,Africa,2011.0,1
Elephant endotheliotropic herpesvirus 2,Europa,2013.0,2
Elephant endotheliotropic herpesvirus 2,North America,1996.0,11
Elephant endotheliotropic herpesvirus 2,North America,2010.0,4
Elephant endotheliotropic herpesvirus 2,North America,2021.0,12
Elephant endotheliotropic herpesvirus 3,Africa,1998.0,7
Elephant endotheliotropic herpesvirus 3,Africa,2008.0,6
Elephant endotheliotropic herpesvirus 3,Africa,2011.0,16
Elephant endotheliotropic herpesvirus 3,Europa,2013.0,3
Elephant endotheliotropic herpesvirus 3,North America,2007.0,7
