Species,Region,Collection_Date,Count
Acinetobacter phage Ab_121,Asia,2019.0,1
Acinetobacter phage Ab_SZ3,Asia,2020.0,1
Acinetobacter phage AbpL,Asia,2020.0,1
Acinetobacter phage Abraxas,Europa,2018.0,1
Acinetobacter phage Arbor,Asia,2021.0,1
Acinetobacter phage Aristophanes,Europa,2017.0,1
Acinetobacter phage BS46,Europa,1991.0,1
Acinetobacter phage Barton,North America,2014.0,1
Acinetobacter phage Bestia,Europa,2018.0,1
Acinetobacter phage Brutus,Europa,2018.0,1
Acinetobacter phage Cato,Europa,2020.0,1
Acinetobacter phage DMU1,North America,2018.0,1
Acinetobacter phage Effie,North America,2014.0,1
Acinetobacter phage Henu6,Asia,2017.0,1
Acinetobacter phage Herod,Europa,2018.0,1
Acinetobacter phage JeffCo,North America,2014.0,1
Acinetobacter phage Maestro,North America,2016.0,1
Acinetobacter phage Melin,North America,2018.0,1
Acinetobacter phage Meroveus,Europa,2018.0,1
Acinetobacter phage Minot,North America,2018.0,1
Acinetobacter phage Mithridates,Europa,2018.0,1
Acinetobacter phage Mokit,North America,2018.0,1
Acinetobacter phage Morttis,North America,2018.0,1
Acinetobacter phage Octan,Europa,2018.0,1
Acinetobacter phage PBAB08,Asia,2015.0,1
Acinetobacter phage PBAB25,Asia,2015.0,1
Acinetobacter phage Paty,North America,2018.0,1
Acinetobacter phage PhaR5,Asia,2020.0,1
Acinetobacter phage Phab24,Asia,2019.0,1
Acinetobacter phage Pipo,North America,2018.0,1
Acinetobacter phage RL-2015,Asia,2017.0,1
Acinetobacter phage RL-2015,Asia,2018.0,3
Acinetobacter phage Scipio,Europa,2018.0,1
Acinetobacter phage Stupor,Europa,2018.0,1
Acinetobacter phage VB_ApiP_XC38,Asia,2018.0,2
Acinetobacter phage ZaA-2018a,Asia,2017.0,1
Acinetobacter phage ZaA-2018b,Asia,2017.0,1
Acinetobacter phage phiAB182,Asia,2019.0,1
Acinetobacter phage phiAB2,Asia,2007.0,4
Acinetobacter phage phiAC-1,Asia,2010.0,2
Acinetobacter phage vB_Ab4_Hep4,Asia,2022.0,1
Acinetobacter phage vB_AbaM_IME285,Asia,2017.0,1
Acinetobacter phage vB_AbaP_ABWU2101,Asia,2021.0,1
Acinetobacter phage vB_AbaP_APK116,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK14,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK2,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK2-2,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK26,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK32,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK37,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK44,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK48,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK48-3,Europa,2019.0,1
Acinetobacter phage vB_AbaP_APK81,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK87,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK89,Europa,2018.0,1
Acinetobacter phage vB_AbaP_APK93,Europa,2018.0,1
Acinetobacter phage vB_AbaP_Alexa,Europa,2019.0,1
Acinetobacter phage vB_AbaP_CEB1,Europa,2013.0,1
Acinetobacter phage vB_AbaP_HB01,Asia,2020.0,1
Acinetobacter phage vB_AbaP_WU2001,Asia,2020.0,1
Acinetobacter phage vB_AbaP_ZHSHW,Asia,2020.0,1
Acinetobacter phage vB_phiAcib_BQ1,Asia,2018.0,1
Acinetobacter phage vB_phiAcib_BQ2,Asia,2018.0,1
Acinetobacter phage vB_phiAcib_BQ3,Asia,2018.0,1
Acinetobacter phage vB_phiAcib_BQ4,Asia,2018.0,1
Acinetobacter virus AB2,Asia,2012.0,2
Acinetobacter virus AM101,Europa,2018.0,2
Acinetobacter virus AP22,Asia,2017.0,3
Acinetobacter virus AP22,Asia,2018.0,1
Acinetobacter virus Aci01-1,Africa,2016.0,2
Acinetobacter virus Aci02-2,Africa,2017.0,2
Acinetobacter virus Aci05,Africa,2016.0,2
Acinetobacter virus Aci07,Africa,2016.0,2
Acinetobacter virus Aci08,Africa,2017.0,2
Acinetobacter virus Apostate,Europa,2018.0,2
Acinetobacter virus B1,Europa,2014.0,2
Acinetobacter virus B3,Europa,2014.0,2
Acinetobacter virus B5,Europa,2014.0,2
Acinetobacter virus Berthold,Europa,2018.0,2
Acinetobacter virus Fri1,Europa,2012.0,2
Acinetobacter virus IME200,Asia,2015.0,2
Acinetobacter virus IMEAB3,Asia,2013.0,2
Acinetobacter virus KARL1,Europa,2015.0,2
Acinetobacter virus Kimel,Europa,2018.0,2
Acinetobacter virus Konradin,Europa,2019.0,2
Acinetobacter virus LZ35,Asia,2015.0,2
Acinetobacter virus Lazarus,Europa,2018.0,2
Acinetobacter virus P1,Europa,2014.0,2
Acinetobacter virus P2,Europa,2014.0,2
Acinetobacter virus WCHABP1,Asia,2016.0,2
Acinetobacter virus WCHABP12,Asia,2016.0,2
Acinetobacter virus WCHABP5,Asia,2016.0,2
Acinetobacter virus vB_AbaP_AGC01,Europa,2017.0,1
Acinonyx jubatus papillomavirus type 1,Africa,2014.0,24
Acinonyx jubatus papillomavirus type 1,Africa,2015.0,22
Acinopterus angulatus reovirus,North America,2010.0,1
Acipenser iridovirus-European,Europa,2016.0,2
Acipenser iridovirus-European,Europa,2017.0,5
Acipenser iridovirus-European,Europa,2018.0,4
Acipenser iridovirus-European,Europa,2020.0,6
Acipenserid herpesvirus 1,North America,1991.0,12
Acipenserid herpesvirus 2,Europa,2006.0,2
Acipenserid herpesvirus 2,Europa,2011.0,3
Acipenserid herpesvirus 2,North America,2015.0,2
Ackermannviridae sp.,North America,2010.0,8
Ackermannviridae sp.,North America,2012.0,6
Ackermannviridae sp.,North America,2014.0,1
Ackermannviridae sp.,North America,2015.0,4
Ackermannviridae sp.,North America,2016.0,3
Ackermannviridae sp.,North America,2017.0,1
Ackermannviridae sp.,North America,2018.0,7
Ackermannviridae sp.,North America,2019.0,1
Ackermannviridae sp. ctClB2,North America,2012.0,1
Ackermannviridae sp. ctQad106,North America,2018.0,1
Ackermannviridae sp. ctaCq7,North America,2015.0,1
Aconite virus A,Asia,2018.0,1
Acremonium magoulivirus,Asia,2019.0,2
Acremonium magoulivirus,Europa,2017.0,1
Acrididae reovirus,Asia,2022.0,9
Acropoma japonicum iridovirus,Asia,2009.0,1
Acropoma japonicum nervous necrosis virus,Asia,2009.0,1
Acropora pruinosa phage,Asia,2011.0,1
Actias selene nucleopolyhedrovirus,Europa,2014.0,2
Actinidia chlorotic ringspot-associated emaravirus,Asia,2013.0,10
Actinidia chlorotic ringspot-associated emaravirus,Asia,2017.0,28
Actinidia chlorotic ringspot-associated emaravirus,Asia,2018.0,3
Actinidia chlorotic ringspot-associated emaravirus,Asia,2019.0,56
Actinidia cytorhabdovirus JS27,Asia,2016.0,1
Actinidia emaravirus 2,Asia,2016.0,12
Actinidia seed borne latent virus,Asia,2017.0,2
Actinidia seed borne latent virus,Asia,2018.0,1
Actinidia seed borne latent virus,Asia,2019.0,1
