,Taxonomy,Isolation_Source,Count
0,Aalivirus A,abdominal cavity,2
1,Aalivirus A,"feces, abdominal cavity",1
2,Academ virus,lung,19
3,Acanthis flammea CRESS-DNA-virus sp.,feces,1
4,Accipiter gentilis Genomoviridae sp.,feces,2
5,Accipiter gentilis ambidensovirus,feces,4
6,Accipiter gentilis parvo-like hybrid virus,feces,2
7,Accipiter gentilis parvoviridae sp.,feces,1
8,Acerodon celebensis polyomavirus 1,spleen,8
9,Acerodon celebensis polyomavirus 2,spleen,8
10,Achaea janata granulovirus,larva,1
11,Actinidia chlorotic ringspot-associated emaravirus,plant leaf,3
12,Actinidia virus 1,plant leaf,5
13,Actinidia virus A,plant leaf,5
14,Actinidia virus B,plant leaf,3
15,Acute bee paralysis virus,abdominal cavity,2
16,Acute bee paralysis virus,feces,2
17,Acyrthosiphon pisum virus,feces,2
18,Adeno-Associated Virus Clade A,feces,33
19,Adeno-Associated Virus Clade C,feces,2
20,Adeno-Associated Virus Clade D,feces,2
21,Adeno-Associated Virus PREDICT_AaV-10,feces,3
22,Adeno-Associated Virus PREDICT_AaV-11,feces,6
23,Adeno-Associated Virus PREDICT_AaV-5,feces,1
24,Adeno-Associated Virus PREDICT_AaV-6,feces,2
25,Adeno-Associated Virus PREDICT_AaV-7,feces,2
26,Adeno-Associated Virus PREDICT_AaV-8,feces,4
27,Adeno-Associated Virus PREDICT_AaV-9,feces,1
28,Adeno-Associated Virus rh.8,feces,32
29,Adeno-associated dependoparvovirus A,blood,112
30,Adeno-associated dependoparvovirus A,feces,16
31,Adeno-associated virus,abdominal cavity,4
32,Adeno-associated virus,bone,4
33,Adeno-associated virus,feces,13
34,Adeno-associated virus,"liver, abdominal cavity",25
35,Adeno-associated virus,tissue,4
36,Adeno-associated virus Croatia cul1_12,oronasopharynx,2
37,Adenoviridae sp.,feces,27
38,Adenoviridae sp.,swab,6
39,Adenovirus PREDICT_AdV-13,oronasopharynx,6
40,Adenovirus PREDICT_AdV-13,"oronasopharynx, feces, blood",1
41,Adenovirus PREDICT_AdV-14,"oronasopharynx, feces, blood, skin",1
42,Adenovirus PREDICT_AdV-15,"feces, blood, oronasopharynx",1
43,Adenovirus PREDICT_AdV-15,"oronasopharynx, feces, blood",1
44,Adenovirus PREDICT_AdV-16,"oronasopharynx, feces, blood",5
45,Adenovirus PREDICT_AdV-17,"liver, spleen",2
46,Adenovirus PREDICT_AdV-18,"liver, spleen",2
47,Adenovirus PREDICT_AdV-19,"liver, spleen",1
48,Adenovirus PREDICT_AdV-2,feces,1
49,Adenovirus PREDICT_AdV-20,"liver, spleen",1
50,Adenovirus PREDICT_AdV-21,"liver, spleen",1
51,Adenovirus PREDICT_AdV-21,"spleen, abdominal cavity, liver, abdominal cavity",1
52,Adenovirus PREDICT_AdV-22,"liver, spleen",2
53,Adenovirus PREDICT_AdV-22,"spleen, abdominal cavity, liver, abdominal cavity",2
54,Adenovirus PREDICT_AdV-23,"liver, spleen",1
55,Adenovirus PREDICT_AdV-24,"liver, abdominal cavity",1
56,Adenovirus PREDICT_AdV-24,"liver, spleen",6
57,Adenovirus PREDICT_AdV-25,"liver, spleen",1
58,Adenovirus PREDICT_AdV-26,"oronasopharynx, feces",1
59,Adenovirus PREDICT_AdV-27,"oronasopharynx, feces",1
60,Adenovirus PREDICT_AdV-28,"liver, spleen",3
61,Adenovirus PREDICT_AdV-29,"liver, spleen",4
62,Adenovirus PREDICT_AdV-3,oronasopharynx,1
63,Adenovirus PREDICT_AdV-30,"liver, spleen",1
64,Adenovirus PREDICT_AdV-31,feces,1
65,Adenovirus PREDICT_AdV-31,oronasopharynx,1
66,Adenovirus PREDICT_AdV-32,feces,1
67,Adenovirus PREDICT_AdV-33,"liver, spleen",3
68,Adenovirus PREDICT_AdV-34,"liver, spleen",3
69,Adenovirus PREDICT_AdV-35,"liver, spleen",4
70,Adenovirus PREDICT_AdV-36,"liver, spleen",2
71,Adenovirus PREDICT_AdV-36,"spleen, abdominal cavity, liver, abdominal cavity",1
72,Adenovirus PREDICT_AdV-37,"liver, spleen",2
73,Adenovirus PREDICT_AdV-38,"liver, spleen",11
74,Adenovirus PREDICT_AdV-38,"spleen, abdominal cavity, liver, abdominal cavity",1
75,Adenovirus PREDICT_AdV-39,"liver, spleen",1
76,Adenovirus PREDICT_AdV-40,"liver, spleen",1
77,Adenovirus PREDICT_AdV-41,"liver, spleen",2
78,Adenovirus PREDICT_AdV-42,"liver, spleen",1
79,Adenovirus PREDICT_AdV-43,feces,1
80,Adenovirus PREDICT_AdV-43,oronasopharynx,1
81,Adenovirus PREDICT_AdV-43,"oronasopharynx, feces",1
82,Adenovirus PREDICT_AdV-44,"liver, spleen",2
83,Adenovirus PREDICT_AdV-44,"spleen, abdominal cavity, liver, abdominal cavity",1
84,Adenovirus PREDICT_AdV-45,"liver, spleen",2
85,Adenovirus PREDICT_AdV-46,"liver, spleen",1
86,Adenovirus PREDICT_AdV-47,feces,1
87,Adenovirus PREDICT_AdV-48,"liver, spleen",4
88,Adenovirus PREDICT_AdV-49,"liver, spleen",7
89,Adenovirus PREDICT_AdV-5,oronasopharynx,1
90,Adenovirus PREDICT_AdV-50,"liver, spleen",3
91,Adenovirus PREDICT_AdV-51,"liver, spleen",1
92,Adenovirus PREDICT_AdV-52,feces,1
93,Adenovirus PREDICT_AdV-53,"liver, spleen",1
94,Adenovirus PREDICT_AdV-54,"liver, spleen",2
95,Adenovirus PREDICT_AdV-55,feces,6
96,Adenovirus PREDICT_AdV-55,"oronasopharynx, feces",1
97,Adenovirus PREDICT_AdV-56,"liver, spleen",1
98,Adenovirus PREDICT_AdV-57,"liver, spleen",1
99,Adenovirus PREDICT_AdV-58,"liver, spleen",2
100,Adenovirus PREDICT_AdV-59,"liver, spleen",1
101,Adenovirus PREDICT_AdV-60,"liver, spleen",1
102,Adenovirus PREDICT_AdV-61,"liver, spleen",1
103,Adenovirus PREDICT_AdV-62,"spleen, abdominal cavity, liver, abdominal cavity",1
104,Adenovirus PREDICT_AdV-63,"liver, spleen",1
105,Adenovirus PREDICT_AdV-64,"liver, spleen",2
106,Adenovirus PREDICT_AdV-65,"liver, spleen",1
107,Adenovirus PREDICT_AdV-66,oronasopharynx,5
108,Adenovirus PREDICT_AdV-67,"oronasopharynx, feces",1
109,Adenovirus PREDICT_AdV-68,"liver, spleen",3
110,Adenovirus PREDICT_AdV-69,feces,5
111,Adenovirus PREDICT_AdV-70,"oronasopharynx, feces",1
112,Adenovirus PREDICT_AdV-71,oronasopharynx,2
113,Adenovirus PREDICT_AdV-72,feces,6
114,Adenovirus PREDICT_AdV-73,oronasopharynx,5
115,Adenovirus PREDICT_AdV-74,feces,5
116,Adenovirus PREDICT_AdV-74,"liver, spleen",1
117,Adenovirus PREDICT_AdV-75,feces,50
118,Adenovirus PREDICT_AdV-75,oronasopharynx,59
119,Adenovirus PREDICT_AdV-77,"oronasopharynx, feces",1
120,Adenovirus PREDICT_AdV-78,"liver, spleen",1
121,Adenovirus PREDICT_AdV-79,"liver, spleen",1
122,Adenovirus PREDICT_AdV-80,"liver, spleen",1
123,Adenovirus PREDICT_AdV-87,feces,2
124,Adenovirus PREDICT_AdV-90,feces,6
125,Adenovirus PREDICT_AdV-91,feces,1
126,Adenovirus red squirrel/DEU/JK-2011,"feces, abdominal cavity",2
127,Adenovirus sp.,"brain, liver, abdominal cavity",1
128,Adenovirus sp.,feces,9
129,Adenovirus sp.,oronasopharynx,1
130,Adenovirus squirrel/298/07-19/PT,"spleen, abdominal cavity",2
131,Adenovirus squirrel/96-29/KOR,"spleen, abdominal cavity",2
132,Adenovirus squirrel/GBR/SG-2012,"feces, abdominal cavity",2
133,Adoxophyes orana nucleopolyhedrovirus,larva,242
134,Aedes flavivirus,"pooled insects, larva",1
135,Aedes notoscriptus flavivirus,pooled insects,2
136,Aedes pseudoscutellaris reovirus,blood,6
137,Aegithalos caudatus CRESS-DNA-virus sp.,feces,1
138,Aegithalos caudatus Genomoviridae sp.,feces,6
139,Aegithalos caudatus ambidensovirus,feces,4
140,Aegithalos caudatus parvoviridae sp.,feces,11
141,Aethomys kaiseri betaherpesvirus,"kidney, abdominal cavity",1
142,Aethomys kaiseri betaherpesvirus,lung,1
143,African cassava mosaic virus,plant leaf,557
144,African eggplant-associated virus,fruit,8
145,African horse sickness virus,blood,117
146,African horse sickness virus,"liver, abdominal cavity",10
147,African horse sickness virus,lung,30
148,African horse sickness virus,lymph,2
149,African horse sickness virus,"spleen, abdominal cavity",42
150,African pygmy hedgehog adenovirus 1,oronasopharynx,3
151,African swine fever virus,blood,1672
152,African swine fever virus,bone,366
153,African swine fever virus,brain,1
154,African swine fever virus,lung,1
155,African swine fever virus,lymph,46
156,African swine fever virus,"spleen, abdominal cavity",4312
157,African swine fever virus,"spleen, abdominal cavity, lung, lymph",14
158,African swine fever virus,tissue,1
159,Afronycteris nana bat alphacoronavirus/Bat77/Eswatini/2014,feces,5
160,Agamid adenovirus 1,feces,1
161,Agamid adenovirus 1,"liver, abdominal cavity",1
162,Agapanthus tungrovirus,plant leaf,8
163,Agapanthus velarivirus,plant leaf,20
164,Ageratum conyzoides associated symptomless alphasatellite,plant leaf,10
165,Ageratum conyzoides symptomless alphasatellite,plant leaf,15
166,Ageratum enation alphasatellite,plant leaf,15
167,Ageratum enation virus,plant leaf,128
168,Ageratum latent virus,plant leaf,7
169,Ageratum leaf curl Cameroon betasatellite,plant leaf,1
170,Ageratum leaf curl betasatellite,plant leaf,3
171,Ageratum leaf curl virus,plant leaf,7
172,Ageratum yellow leaf curl Pakistan alphasatellite,plant leaf,3
173,Ageratum yellow leaf curl betasatellite,plant leaf,27
174,Ageratum yellow vein China betasatellite,plant leaf,2
175,Ageratum yellow vein China virus,plant leaf,243
176,Ageratum yellow vein India alphasatellite,plant leaf,22
177,Ageratum yellow vein India betasatellite,plant leaf,2
178,Ageratum yellow vein Pakistan alphasatellite,plant leaf,2
179,Ageratum yellow vein Singapore alphasatellite,plant leaf,1
180,Ageratum yellow vein Sri Lanka betasatellite,plant leaf,2
181,Ageratum yellow vein alphasatellite,plant leaf,8
182,Ageratum yellow vein betasatellite,plant leaf,2
183,Ageratum yellow vein virus,plant leaf,57
184,Aichivirus A,abdominal cavity,1
185,Aichivirus A,feces,497
186,Aichivirus A,"feces, abdominal cavity",1
187,Aichivirus B,feces,262
188,Aichivirus C,abdominal cavity,21
189,Aichivirus C,blood,1
190,Aichivirus C,feces,911
191,Aichivirus C,"feces, abdominal cavity",25
192,Aichivirus C,oronasopharynx,1
193,Aichivirus D,feces,2
194,Aichivirus E,feces,16
195,Aids-associated retrovirus,blood,21
196,Ailurivirus A,feces,4
197,Ailurivirus C,feces,5
198,Ailurivirus D,feces,4
199,Ailuropoda melanoleuca papillomavirus 5,oronasopharynx,7
200,Ailuropoda melanoleuca polyomavirus 1,oronasopharynx,11
201,Ailurus fulgens astrovirus 1,abdominal cavity,3
202,Ailurus fulgens astrovirus 2,feces,3
203,Aino orthobunyavirus,blood,44
204,Aino orthobunyavirus,fetus,8
205,Akabane orthobunyavirus,blood,120
206,Akabane orthobunyavirus,brain,71
207,Akabane orthobunyavirus,fetus,15
208,Akabane orthobunyavirus,"fetus, brain",7
209,Akabane orthobunyavirus,nerve,4
210,Akabane orthobunyavirus,placenta,43
211,Akabane orthobunyavirus,spinal cord,7
212,Albatrosspox virus,lesion_tumor,695
213,Albuca mosaic virus,plant leaf,10
214,Alcea yellow mosaic virus,plant leaf,3
215,Alces alces faeces associated circular virus MP65,feces,4
216,Alces alces faeces associated genomovirus MP146,feces,2
217,Alces alces faeces associated microvirus MP10 5560,feces,12
218,Alces alces faeces associated microvirus MP11 5517,feces,12
219,Alces alces faeces associated microvirus MP12 5423,feces,12
220,Alces alces faeces associated microvirus MP15 5067,feces,8
221,Alces alces faeces associated microvirus MP18 4940,feces,8
222,Alces alces faeces associated microvirus MP21 4718,feces,6
223,Alces alces faeces associated microvirus MP3 6497,feces,6
224,Alefpapillomavirus 1,lymph,18
225,Alethinophid 2 reptarenavirus,blood,2
226,Alethinophid 2 reptarenavirus,brain,2
227,Alfalfa associated nucleorhabdovirus,plant leaf,7
228,Alfalfa dwarf cytorhabdovirus,plant leaf,8
229,Alfalfa leaf curl virus,plant leaf,680
230,Alfalfa mosaic virus,plant leaf,135
231,Alfalfa virus S,plant leaf,6
232,Allamanda leaf mottle distortion virus,plant leaf,16
233,Allium polerovirus A,plant leaf,5
234,Almond luteovirus 1,plant leaf,4
235,Alpaca adenovirus GBR/3387_02,abdominal cavity,1
236,Alpaca coronavirus,feces,23
237,Alphaarterivirus equid,blood,71
238,Alphaarterivirus equid,"kidney, abdominal cavity, fetus",1
239,Alphaarterivirus equid,lymph,10
240,Alphaarterivirus equid,oronasopharynx,70
241,Alphaarterivirus equid,sperm,591
242,Alphaarterivirus equid,"spleen, abdominal cavity",3
243,Alphacoronavirus 1,abdominal cavity,602
244,Alphacoronavirus 1,blood,77
245,Alphacoronavirus 1,brain,9
246,Alphacoronavirus 1,cell,8
247,Alphacoronavirus 1,cerebrospinal fluid,1
248,Alphacoronavirus 1,eye,2
249,Alphacoronavirus 1,feces,2023
250,Alphacoronavirus 1,"feces, abdominal cavity",447
251,Alphacoronavirus 1,heart,2
252,Alphacoronavirus 1,"kidney, abdominal cavity",15
253,Alphacoronavirus 1,"liver, abdominal cavity",132
254,Alphacoronavirus 1,lung,174
255,Alphacoronavirus 1,lymph,60
256,Alphacoronavirus 1,oronasopharynx,48
257,Alphacoronavirus 1,spinal cord,1
258,Alphacoronavirus 1,"spleen, abdominal cavity",21
259,Alphacoronavirus 1,tonsil,6
260,Alphacoronavirus 1,urine,12
261,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010,feces,6
262,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,feces,12
263,Alphacoronavirus BtCoV/Miniopterus/UP6369/LP/RSA/2016,feces,1
264,Alphacoronavirus BtCoV/Rhinolophus/UP6043/LP/RSA/2015,feces,1
265,Alphacoronavirus Eptesicus fuscus,feces,1
266,Alphacoronavirus H.sav/L/Spain/2007,feces,1
267,Alphacoronavirus HCQD-2020,"feces, abdominal cavity",7
268,Alphacoronavirus M.dau/H/Spain/2007,feces,1
269,Alphacoronavirus M.myo/I/Spain/2007,feces,1
270,Alphacoronavirus N.las/C/Spain/2007,feces,1
271,Alphacoronavirus N.las/D/Spain/2007,feces,1
272,Alphacoronavirus N.las/E/Spain/2007,feces,1
273,Alphacoronavirus N.las/F/Spain/2007,feces,1
274,Alphacoronavirus N.las/G/Spain/2007,feces,1
275,Alphacoronavirus P.kuh/Iprima/Spain/2007,feces,1
276,Alphacoronavirus P.sp/K/Spain/2007,feces,1
277,Alphacoronavirus Pipistrellus kuhlii/Italy/206679-3/2010,feces,1
278,Alphacoronavirus RtCoV/Gerbilliscus/UPR219/LP/RSA/2016,feces,1
279,Alphacoronavirus Trinidad/1FY2BA/2007,feces,6
280,Alphacoronavirus Trinidad/1FY2BA/2007,"feces, blood",4
281,Alphacoronavirus Trinidad/1FY2BA/2007,oronasopharynx,1
282,Alphacoronavirus sp.,abdominal cavity,150
283,Alphacoronavirus sp.,feces,254
284,Alphacoronavirus sp.,"feces, abdominal cavity",14
285,Alphacoronavirus sp.,oronasopharynx,4
286,Alphamesonivirus 1,pooled insects,3
287,Alphamesonivirus 10,brain,9
288,Alphamesonivirus 4,pooled insects,18
289,Alphapapillomavirus 1,cervix,17
290,Alphapapillomavirus 10,cervix,154
291,Alphapapillomavirus 10,feces,235
292,Alphapapillomavirus 10,larynx,691
293,Alphapapillomavirus 10,lesion_tumor,694
294,Alphapapillomavirus 10,lung,12
295,Alphapapillomavirus 10,oronasopharynx,17
296,Alphapapillomavirus 10,vagina,1
297,Alphapapillomavirus 11,cervix,32
298,Alphapapillomavirus 12,cervix,22
299,Alphapapillomavirus 12,oronasopharynx,8
300,Alphapapillomavirus 13,cervix,11
301,Alphapapillomavirus 14,cervix,29
302,Alphapapillomavirus 2,lesion,6
303,Alphapapillomavirus 2,lesion_tumor,15
304,Alphapapillomavirus 2,oronasopharynx,1
305,Alphapapillomavirus 3,cervix,148
306,Alphapapillomavirus 3,skin,7
307,Alphapapillomavirus 4,oronasopharynx,6
308,Alphapapillomavirus 5,cervix,44
309,Alphapapillomavirus 6,cervix,530
310,Alphapapillomavirus 6,oronasopharynx,7
311,Alphapapillomavirus 6,vagina,3
312,Alphapapillomavirus 7,cervix,326
313,Alphapapillomavirus 7,feces,3
314,Alphapapillomavirus 7,lesion,8
315,Alphapapillomavirus 7,lesion_tumor,8
316,Alphapapillomavirus 7,"saliva, oronasopharynx",3
317,Alphapapillomavirus 7,sperm,8
318,Alphapapillomavirus 8,cervix,15
319,Alphapapillomavirus 8,feces,24
320,Alphapapillomavirus 8,oronasopharynx,1
321,Alphapapillomavirus 9,cervix,4301
322,Alphapapillomavirus 9,larynx,6
323,Alphapapillomavirus 9,lesion_tumor,21
324,Alphapapillomavirus 9,oronasopharynx,30
325,Alphapapillomavirus 9,"saliva, oronasopharynx",6
326,Alphapapillomavirus 9,sperm,1
327,Alphapapillomavirus 9,tonsil,10
328,Alphapapillomavirus 9,vagina,11
329,Alphapermutotetravirus sp.,feces,3
330,Alphasatellite 1,pooled insects,1
331,Alphasatellite 3,pooled insects,2
332,Alphatorquevirus sp.,blood,45
333,Alstroemeria mosaic virus,plant leaf,2
334,Alstroemeria necrotic streak orthotospovirus,fruit,1
335,Alstroemeria necrotic streak orthotospovirus,plant leaf,7
336,Altai virus,lung,27
337,Altai-like virus,lung,2
338,Alternanthera leaf curl virus,plant leaf,1
339,Alternanthera mild mosaic virus,plant leaf,4
340,Alternanthera yellow vein virus,plant leaf,38
341,Alto Paraguay hantavirus,lung,1
342,Amaryllis potyvirus,plant leaf,2
343,Amasya cherry disease associated chrysovirus,plant leaf,4
344,Ambidensovirus sp.,blood,3
345,Ambidensovirus sp.,feces,15
346,Amdoparvovirus sp.,animal tissues,4
347,Ameiurus nebulosus calicivirus 1,skin,2
348,American plum line pattern virus,plant leaf,4
349,Amga orthohantavirus,lung,14
350,Amniota adenovirus 1,feces,13
351,Amphisbaenian parvovirus AGY1,"liver, abdominal cavity",1
352,Ampivirus A,feces,2
353,Amsterdam virus,"liver, abdominal cavity",5
354,Amur virus,blood,10
355,Amur virus,lung,5
356,Anatid alphaherpesvirus 1,"feces, abdominal cavity",2
357,Anatid alphaherpesvirus 1,"feces, abdominal cavity, heart, lung",2
358,Anatid alphaherpesvirus 1,liver,2
359,Anatid alphaherpesvirus 1,"liver, abdominal cavity",11
360,Anatid alphaherpesvirus 1,"spleen, abdominal cavity",3
361,Anatid alphaherpesvirus 1,"spleen, liver, abdominal cavity",1
362,Anativirus B,cloaca,1
363,Anativirus sp.,feces,7
364,Andes orthohantavirus,blood,134
365,Andes orthohantavirus,"liver, abdominal cavity",10
366,Andes orthohantavirus,lung,1
367,Andraca bipunctata granulovirus,larva,11
368,Andrographis yellow vein leaf curl betasatellite,plant leaf,6
369,Andrographis yellow vein leaf curl virus,plant leaf,11
370,Anelloviridae sp.,animal tissues,44
371,Anelloviridae sp.,blood,785
372,Anelloviridae sp.,"kidney, abdominal cavity",4
373,Anelloviridae sp.,"liver, abdominal cavity",4
374,Anelloviridae sp.,lung,4
375,Anelloviridae sp.,lymph,1
376,Anelloviridae sp.,oronasopharynx,4
377,Anelloviridae sp.,skin,8
378,Anelloviridae sp.,"spleen, abdominal cavity",4
379,Anelloviridae sp.,tissue,25
380,Anellovirus fur seal/AAUST58/BR/2012,feces,1
381,Anellovirus fur seal/AAUST59/BR/2012,feces,1
382,Anellovirus fur seal/AAUST60/BR/2012,feces,1
383,Anellovirus fur seal/AAUST62/BR/2012,feces,1
384,Anellovirus fur seal/ATROP52/BR/2012,feces,1
385,Anellovirus fur seal/ATROP72/BR/2012,feces,2
386,Anemone mosaic virus,plant leaf,1
387,Angainorvirus turin,feces,4
388,Anolis carolinensis ranavirus,skin,5
389,Anolis sagrei ranavirus,skin,5
390,Anopheles flavivirus Liberia/2013,pooled insects,19
391,Anopheles totivirus,pooled insects,2
392,Anser anser CRESS-DNA-virus sp.,feces,6
393,Anser anser Genomoviridae sp.,feces,2
394,Anser anser dependoparvovirus,feces,2
395,Anser anser polyomavirus 1,abdominal cavity,14
396,Anser anser polyomavirus 1,heart,2
397,Anser anser polyomavirus 1,"kidney, abdominal cavity",1
398,Anser anser polyomavirus 1,"liver, abdominal cavity",2
399,Anser anser polyomavirus 1,lung,4
400,Anser anser polyomavirus 1,"spleen, abdominal cavity",2
401,Anser fabalis coronavirus NCN2,feces,6
402,Anseriform dependoparvovirus 1,embryo,9
403,Anseriform dependoparvovirus 1,feces,5
404,Anseriform dependoparvovirus 1,liver,4
405,Anseriform dependoparvovirus 1,"liver, abdominal cavity",27
406,Anseriform dependoparvovirus 1,"liver, abdominal cavity, spleen, abdominal cavity",1
407,Anseriform dependoparvovirus 1,"spleen, abdominal cavity, liver, abdominal cavity, feces, abdominal cavity",1
408,Antarctic picorna-like virus,cloaca,1
409,Antarctic virus 1_II_CPGEORsw003Ad,feces,2
410,Antarctic virus 1_II_CPGEORsw003Ch,feces,2
411,Antarctic virus 1_I_CPGEORsw001Ad,feces,2
412,Antarctic virus 1_I_CPGEORsw002Ad,feces,2
413,Antarctic virus 2_I_GPYANKsw001Ad,feces,2
414,Antarctic virus 2_I_GPYANKsw001Ch,feces,2
415,Antarctic virus 2_I_GPYANKsw002Ad,feces,2
416,Antarctic virus 2_I_GPYANKsw003Ad,feces,2
417,Antarctic virus 2_I_GPYANKsw004Ad,feces,2
418,Antarctic virus 3_III_KPSTAsw010Ad,feces,2
419,Antarctic virus 3_III_KPSTAsw014Ch,feces,2
420,Antarctic virus 3_III_KPSTAsw016Ch,feces,2
421,Antarctic virus 3_III_KPSTAsw018Ch,feces,2
422,Antarctic virus 3_III_KPSTAsw019Ch,feces,2
423,Antarctic virus 3_II_CPHALFsw005Ad,feces,4
424,Antarctic virus 3_IV_KPSTAsw015Ch,feces,2
425,Antarctic virus 3_I_CPHALFsw004Ad,feces,2
426,Antarctic virus 3_V_CPHALFsw003Ad,feces,2
427,Antarctic virus 4_II_KPSTAsw004Ad,feces,2
428,Antarctic virus 4_II_KPSTAsw014Ch,feces,2
429,Antarctic virus 4_II_KPSTAsw015Ch,feces,2
430,Antarctic virus 4_II_KPSTAsw016Ch,feces,2
431,Antarctic virus 4_II_KPSTAsw017Ch,feces,2
432,Antarctic virus 4_II_KPSTAsw018Ch,feces,2
433,Antarctic virus 4_II_KPSTAsw019Ch,feces,2
434,Antarctic virus 4_I_KPSTAsw001Ad,feces,2
435,Antarctic virus 4_I_KPSTAsw002Ad,feces,2
436,Antarctic virus 4_I_KPSTAsw008Ad,feces,2
437,Antarctic virus 4_I_KPSTAsw009Ad,feces,2
438,Antarctic virus 4_I_KPSTAsw010Ad,feces,2
439,Antarctic virus 5_I_KPSTAsw001Ad,feces,2
440,Antarctic virus 5_I_KPSTAsw002Ad,feces,2
441,Antarctic virus 5_I_KPSTAsw004Ad,feces,2
442,Antarctic virus 5_I_KPSTAsw008Ad,feces,2
443,Antarctic virus 5_I_KPSTAsw009Ad,feces,2
444,Antarctic virus 5_I_KPSTAsw018Ch,feces,2
445,Antarctic virus 5_I_KPSTAsw020Ch,feces,2
446,Antarctic virus 6_I_APBOOTsw001Ad,feces,2
447,Antarctic virus 6_I_APBOOTsw001Ch,feces,2
448,Antelope torovirus,feces,18
449,Antheraea pernyi iflavirus,pupa,2
450,Aparavirus sp.,feces,4
451,Ape Aime-Itapua virus,blood,1
452,Apeu orthobunyavirus,blood,4
453,Aphid lethal paralysis virus,feces,10
454,Aphid lethal paralysis virus,plant leaf,2
455,Apis mellifera associated microvirus 1,brain,5
456,Apis mellifera associated microvirus 4,brain,6
457,Apis mellifera filamentous virus,larva,1
458,Apis mellifera virus-16,brain,2
459,Apodemus agrarius picornavirus,feces,3
460,Apodemus agrarius rhadinovirus 1,abdominal cavity,1
461,Apodemus flavicollis herpesvirus,oronasopharynx,2
462,Apodemus flavicollis polyomavirus 1,lung,18
463,Apodemus flavicollis polyomavirus 1,"spleen, abdominal cavity",9
464,Apodemus peninsulae coronavirus,feces,10
465,Apple barna-like virus 1,plant leaf,4
466,Apple betanucleorhabdovirus,plant stem,7
467,Apple chlorotic leaf spot virus,plant leaf,52
468,Apple green crinkle associated virus,fruit,10
469,Apple ilarvirus 2,plant leaf,5
470,Apple latent spherical virus,plant leaf,1
471,Apple luteovirus 1,plant leaf,58
472,Apple mosaic virus,plant leaf,41
473,Apple necrotic mosaic virus,plant leaf,29
474,Apple ourmia-like virus 1,plant leaf,1
475,Apple picorna-like virus 1,plant leaf,5
476,Apple rubodvirus 1,plant leaf,16
477,Apple rubodvirus 2,plant leaf,22
478,Apple stem grooving virus,flower,3
479,Apple stem grooving virus,plant leaf,107
480,Apple stem grooving virus,plant stem,1
481,Apple stem pitting virus,fruit,1
482,Apple stem pitting virus,plant leaf,325
483,Apple stem pitting virus,plant stem,19
484,Apricot latent virus,plant leaf,2
485,Apteryx rowi circovirus-like virus,feces,4
486,Aquamavirus A,"oronasopharynx, lymph, lung",13
487,Aquareovirus C,"kidney, abdominal cavity",78
488,Aquareovirus C,oronasopharynx,12
489,Aquila chrysaetos herpesvirus,oronasopharynx,1
490,Ara ararauna Chaphamaparvovirus,feces,3
491,Ara ararauna aveparvovirus,feces,3
492,Ara ararauna parvoviridae sp.,feces,3
493,Ara severa parvoviridae sp.,feces,1
494,Arabis mosaic virus,plant leaf,33
495,Arabis mosaic virus,plant stem,4
496,Araucaria virus,blood,2
497,Arctic fox amdovirus,blood,1
498,Arctopus echinatus-associated virus,plant leaf,4
499,Arenavirus DX1401,lung,2
500,Arenavirus sp.,feces,1
501,Arenavirus sp.,lung,1
502,Argentinian mammarenavirus,blood,8
503,Argentinian mammarenavirus,tissue,3
504,Arhar cryptic virus-I,plant leaf,6
505,Arhar cryptic virus-II,plant leaf,1
506,Arivirus 1,feces,2
507,Arivirus 2,feces,2
508,Arlivirus sp.,feces,4
509,Artibeus planirostris polyomavirus 1,"spleen, abdominal cavity",8
510,Artibeus planirostris polyomavirus 2,"spleen, abdominal cavity",10
511,Artibeus planirostris polyomavirus 3,"spleen, abdominal cavity",10
512,Artichoke Italian latent virus,plant stem,4
513,Artybash virus,lung,42
514,Arundinax aedon parvoviridae sp.,feces,1
515,Arvicanthis niloticus betaherpesvirus,"kidney, abdominal cavity",1
516,Arvicanthis niloticus betaherpesvirus,"liver, abdominal cavity, kidney",1
517,Arvicanthis niloticus polyomavirus,"lung, liver, abdominal cavity, kidney",1
518,Asama orthohantavirus,lung,11
519,Asclepias yellow vein virus,plant leaf,1
520,Ash River virus,"liver, abdominal cavity",3
521,Ash shoestring-associated emaravirus,plant leaf,14
522,Asian Narcissus potyvirus,plant leaf,1
523,Asian elephant endotheliolytic herpesvirus,heart,4
524,Asikkala orthohantavirus,lung,2
525,Asikkala orthohantavirus,"lung, heart",1
526,Asinine herpesvirus,lung,3
527,Asinine herpesvirus 5,blood,11
528,Asinine herpesvirus 5,eye,7
529,Asinine herpesvirus 5,lung,1
530,Asinine herpesvirus 5,oronasopharynx,16
531,Asinine herpesvirus 5,tongue,1
532,Asio otus herpesvirus,oronasopharynx,4
533,Aslam narnavirus,pooled insects,1
534,Aspen mosaic-associated emaravirus,plant leaf,3
535,Aspen mosaic-associated virus,plant leaf,2
536,Astroviridae sp.,feces,146
537,Astrovirus 2010_Msc_17636_VA3/HMO,feces,2
538,Astrovirus 2010_Msc_18001_MLB,feces,2
539,Astrovirus AstV_Rat1,feces,1
